TotalArea,ExteriorScore,CentralAir,Neighborhood,RemodelAge,2ndFlrSF,OverallScore,TotalBathrooms,GarageCond,HouseAge,FireplaceQu,BsmtQual,KitchenScore,HasFireplace,Functional,SaleCondition
0.5421789617486339,0.7154256890919944,1.0,0.5960040468819775,0.08333333333333333,0.5301055245189323,0.4861111111111111,0.7,0.991575649989491,0.03676470588235294,0.5338589658361587,0.6176284930313523,0.4999120874542448,0.0,0.9837900903373091,0.6118176228684667
0.5604508196721312,0.4576950075348394,1.0,0.5702713131359338,0.5166666666666667,0.0,0.6666666666666666,0.5,1.0,0.22794117647058823,0.5995512982362027,0.6197416900378755,0.33435027152268765,1.0,1.0,0.6164886203811303
0.5730874316939891,0.7211196172344921,1.0,0.6067660884711513,0.1,0.5375543140906269,0.4861111111111111,0.7,0.9915194715724441,0.051470588235294115,0.5891996838842596,0.612613727355119,0.4994078487290854,1.0,0.991356522248372,0.6076041078078598
0.5379098360655737,0.44655582325904697,1.0,0.6315918465619345,0.6,0.4692737430167598,0.4861111111111111,0.4,0.991575649989491,0.6691176470588235,0.6713416513817423,0.4283020364495793,0.4999120874542448,1.0,0.9837900903373091,0.47808257064881265
0.7607581967213115,0.7154256890919944,1.0,0.9501470391342544,0.13333333333333333,0.6536312849162011,0.5555555555555556,0.7,0.991575649989491,0.058823529411764705,0.5989081363860819,0.6176284930313523,0.4999120874542448,1.0,0.9837900903373091,0.6118176228684667
0.462431693989071,0.44655582325904697,1.0,0.4812339695696333,0.23333333333333334,0.35133457479826197,0.3472222222222222,0.5,0.991575649989491,0.11764705882352941,0.5338589658361587,0.6176284930313523,0.3335947352867516,0.0,0.9837900903373091,0.6118176228684667
0.7390710382513661,0.7211196172344921,1.0,0.6751154378285978,0.03333333333333333,0.0,0.5555555555555556,0.6,0.9915194715724441,0.022058823529411766,0.6748456284114907,0.9917880905399888,0.4994078487290854,1.0,0.991356522248372,0.6076041078078598
0.703551912568306,0.45064776586432403,1.0,0.5691163194282931,0.6,0.6101800124146493,0.5833333333333334,0.7,0.9907257145729099,0.2647058823529412,0.6011558246051709,0.618876973605604,0.3325793896783339,1.0,0.9853629248988008,0.6135141494753056
0.5607923497267759,0.45561569936371604,1.0,0.36879191947948353,0.9666666666666667,0.46679081315952825,0.4861111111111111,0.4,0.9915194715724441,0.5661764705882353,0.5891996838842596,0.4289109289781934,0.6755413676181345,1.0,0.7785784662265891,0.48812860518105083
0.38883196721311475,0.4576950075348394,1.0,0.390973983132513,0.9666666666666667,0.0,0.4166666666666667,0.4,1.0,0.5073529411764706,0.5995512982362027,0.4289214713976556,0.6687005430453753,1.0,1.0,0.6164886203811303
0.4207650273224044,0.4503339942812744,1.0,0.41665651717327074,0.7166666666666667,0.0,0.3472222222222222,0.4,0.9861107495161406,0.3161764705882353,0.5327332395161508,0.42661729125989534,0.3343730734766677,0.0,0.9843488531235232,0.6052152943534294
0.39549180327868855,0.45064776586432403,1.0,0.4126296517045772,0.7666666666666667,0.0,0.4166666666666667,0.4,0.9907257145729099,0.3382352941176471,0.533818917768552,0.42786479631304397,0.3325793896783339,0.0,0.9853629248988008,0.6135141494753056
0.686646174863388,0.7183277744660971,1.0,0.6122455738123203,0.0,0.0,0.4861111111111111,0.4,0.9907257145729099,0.007352941176470588,0.6651659867773776,0.618876973605604,0.503871166033598,1.0,0.9853629248988008,0.9397129752495786
0.5244193989071039,0.44655582325904697,1.0,0.4380502356585038,0.8,0.0,0.4166666666666667,0.5,0.991575649989491,0.35294117647058826,0.48424951648904735,0.4283020364495793,0.3335947352867516,1.0,0.9837900903373091,0.6118176228684667
