Id,SalePrice
1461,149938.73
1462,158563.94
1463,202227.55
1464,199109.19
1465,199481.53
1466,189401.56
1467,196769.8
1468,176344.11
1469,184881.61
1470,139344.52
1471,195369.45
1472,116207.72
1473,104888.45
1474,163652.23
1475,136082.84
1476,317715.3
1477,260027.11
1478,300156.88
1479,296260.75
1480,310762.66
1481,292817.56
1482,227395.25
1483,185294.48
1484,178542.12
1485,168870.94
1486,208835.45
1487,308956.84
1488,266884.38
1489,207089.58
1490,222136.55
1491,197673.73
1492,131916.78
1493,160319.7
1494,281170.53
1495,281000.88
1496,234803.14
1497,202196.5
1498,164872.7
1499,164872.7
1500,164467.53
1501,176759.66
1502,151341.44
1503,285040.0
1504,256039.45
1505,244685.77
1506,184859.92
1507,250805.77
1508,197880.83
1509,167595.61
1510,153123.36
1511,146482.6
1512,158040.38
1513,140783.64
1514,152953.05
1515,203208.48
1516,150354.0
1517,167795.52
1518,154617.62
1519,205589.72
1520,144728.12
1521,145096.0
1522,167164.14
1523,140732.77
1524,135951.97
1525,138098.56
1526,131540.53
1527,134714.25
1528,159732.61
1529,150300.38
1530,174913.56
1531,137794.8
1532,100033.164
1533,148426.27
1534,139126.2
1535,162344.14
1536,134822.1
1537,116278.56
1538,160286.38
1539,190104.42
1540,109100.86
1541,146510.4
1542,158455.4
1543,205822.78
1544,92835.67
1545,108581.76
1546,133090.06
1547,127140.61
1548,146286.31
1549,133801.34
1550,149024.81
1551,129700.42
1552,153651.0
1553,159400.11
1554,131843.95
1555,191027.1
1556,103271.664
1557,111879.36
1558,101700.164
1559,110962.664
1560,156463.78
1561,138595.05
1562,146655.08
1563,137224.22
1564,169512.8
1565,159371.98
1566,246613.56
1567,91355.78
1568,225123.14
1569,154701.7
1570,141564.11
1571,127008.63
1572,153898.11
1573,206877.97
1574,135045.73
1575,199966.08
1576,254623.5
1577,189744.52
1578,168015.38
1579,153398.44
1580,191149.19
1581,168781.58
1582,145666.53
1583,285592.34
1584,255477.98
1585,156882.0
1586,90391.83
1587,107245.74
1588,155301.27
1589,100103.78
1590,137662.8
1591,103333.04
1592,153052.4
1593,135550.25
1594,135160.4
1595,140179.28
1596,239750.9
1597,208052.03
1598,174861.86
1599,167021.52
1600,191290.34
1601,88478.45
1602,123372.125
1603,102133.66
1604,282029.9
1605,219511.73
1606,171310.72
1607,192651.89
1608,212138.1
1609,186293.81
1610,166845.77
1611,151792.14
1612,179790.81
1613,193400.73
1614,117749.45
1615,94041.67
1616,86743.71
1617,99168.41
1618,137606.61
1619,153653.64
1620,173085.77
1621,151447.42
1622,151181.47
1623,227228.55
1624,214267.3
1625,140133.7
1626,169177.05
1627,199962.84
1628,275115.75
1629,167507.4
1630,307832.75
1631,218883.97
1632,246175.33
1633,170214.4
1634,190555.84
1635,178428.42
1636,168042.78
1637,202149.45
1638,197292.17
1639,199010.47
1640,250572.19
1641,192630.02
1642,215544.14
1643,237614.44
1644,242017.14
1645,185249.78
1646,164394.78
1647,166861.36
1648,144002.28
1649,139433.44
1650,124485.56
1651,135240.22
1652,107657.99
1653,106820.7
1654,163657.84
1655,154001.9
1656,155349.4
1657,164192.34
1658,159563.61
1659,147654.7
1660,159541.69
1661,320492.22
1662,323187.97
1663,314448.34
1664,314132.72
1665,314448.34
1666,308123.84
1667,305711.72
1668,314448.34
1669,282334.56
1670,314448.34
1671,260651.53
1672,310762.66
1673,295072.25
1674,284147.06
1675,208592.22
1676,210106.17
1677,213293.19
1678,300364.2
1679,307585.1
1680,315191.72
1681,263492.22
1682,295391.25
1683,212299.8
1684,181081.73
1685,180015.22
1686,180445.1
1687,169166.72
1688,190888.14
1689,201580.95
1690,181027.0
1691,176679.78
1692,247264.72
1693,154630.9
1694,176529.03
1695,163209.42
1696,268202.47
1697,167288.53
1698,302292.44
1699,286114.4
1700,264507.84
1701,280609.06
1702,268550.28
1703,268907.28
1704,278385.28
1705,255716.38
1706,309089.75
1707,218885.02
1708,221047.58
1709,283389.3
1710,240637.4
1711,258757.81
1712,280157.97
1713,256629.83
1714,225999.72
1715,196014.06
1716,201272.27
1717,177599.61
1718,152936.27
1719,214731.25
1720,252089.89
1721,190986.66
